index,group
372,Neurons-Ctrl
373,Proliferating-Ctrl
374,NA-NA
375,Progs.-Ctrl
376,Neurons-Ctrl
377,Proliferating-Ctrl
378,RG-Ctrl
379,Neurons-Ctrl
380,Neurons-Ctrl
381,NA-NA
382,Progs.-Ctrl
383,RG-Ctrl
384,NA-NA
385,RG-Ctrl
386,NA-NA
387,NA-NA
388,NA-NA
389,NA-NA
390,NA-NA
391,NA-NA
392,NA-NA
393,Progs.-Ctrl
394,Progs.-Ctrl
395,NA-NA
396,NA-NA
397,NA-NA
398,Progs.-Ctrl
399,NA-NA
400,NA-NA
401,NA-NA
402,NA-NA
403,NA-NA
404,Progs.-Ctrl
405,Proliferating-Ctrl
406,Proliferating-Ctrl
407,NA-NA
408,Progs.-Ctrl
409,Progs.-Ctrl
410,Progs.-Ctrl
411,Progs.-Ctrl
412,Proliferating-Ctrl
413,Progs.-Ctrl
414,Progs.-Ctrl
415,NA-NA
416,Progs.-Ctrl
417,NA-NA
418,NA-NA
419,Progs.-Ctrl
420,Proliferating-Ctrl
421,NA-NA
422,NA-NA
423,Progs.-Ctrl
424,RG-Ctrl
425,Neurons-Ctrl
426,NA-NA
427,Neurons-Ctrl
428,Progs.-Ctrl
429,Progs.-Ctrl
430,Progs.-Ctrl
431,Neurons-Ctrl
432,NA-NA
433,Progs.-Ctrl
434,NA-NA
435,Proliferating-Ctrl
436,Progs.-Ctrl
437,NA-NA
438,Progs.-Ctrl
439,Neurons-Ctrl
440,Proliferating-Ctrl
441,NA-NA
442,Proliferating-Ctrl
443,NA-NA
444,RG-Ctrl
445,NA-NA
446,NA-NA
447,Progs.-Ctrl
448,NA-NA
449,NA-NA
450,Progs.-Ctrl
451,NA-NA
452,Proliferating-Ctrl
453,NA-NA
454,NA-NA
455,Neurons-Ctrl
456,Neurons-Ctrl
457,NA-NA
458,Neurons-Ctrl
459,Neurons-Ctrl
460,RG-Ctrl
461,Progs.-Ctrl
462,Progs.-Ctrl
463,NA-NA
464,NA-NA
465,RG-Ctrl
466,Neurons-Ctrl
467,NA-NA
468,NA-NA
469,NA-NA
470,Progs.-Ctrl
471,NA-NA
472,Neurons-Ctrl
473,RG-Ctrl
474,Progs.-Ctrl
475,Progs.-Ctrl
476,Progs.-Ctrl
477,Proliferating-Ctrl
478,NA-NA
479,NA-NA
480,NA-NA
481,NA-NA
482,Neurons-Ctrl
483,Neurons-Ctrl
484,RG-Ctrl
485,Proliferating-Ctrl
486,NA-NA
487,Proliferating-Ctrl
488,Neurons-Ctrl
489,NA-NA
490,Progs.-Ctrl
491,NA-NA
492,NA-NA
493,Neurons-Ctrl
494,Proliferating-Ctrl
495,NA-NA
496,NA-NA
497,Progs.-Ctrl
498,Progs.-Ctrl
499,Neurons-Ctrl
500,Neurons-Ctrl
501,Progs.-Ctrl
502,NA-NA
503,Progs.-Ctrl
504,RG-Ctrl
505,Progs.-Ctrl
506,Neurons-Ctrl
507,Progs.-Ctrl
508,Progs.-Ctrl
509,Neurons-Ctrl
510,NA-NA
511,Progs.-Ctrl
512,Progs.-Ctrl
513,NA-NA
514,NA-NA
515,NA-NA
516,Myeloid-Ctrl
517,Progs.-Ctrl
518,RG-Ctrl
519,Progs.-Ctrl
520,NA-NA
521,NA-NA
522,NA-NA
523,Mural-Ctrl
524,NA-NA
525,Proliferating-Ctrl
526,NA-NA
527,NA-NA
528,Progs.-Ctrl
529,Progs.-Ctrl
530,NA-NA
531,RG-Ctrl
532,NA-NA
533,NA-NA
534,NA-NA
535,NA-NA
536,NA-NA
537,Progs.-Ctrl
538,RG-Ctrl
539,Progs.-Ctrl
540,Proliferating-Ctrl
541,NA-NA
542,NA-NA
543,Progs.-Ctrl
544,Proliferating-Ctrl
545,NA-NA
546,NA-NA
547,NA-NA
548,RG-Ctrl
549,Progs.-Ctrl
550,NA-NA
551,NA-NA
552,NA-NA
553,Progs.-Ctrl
554,Mural-Ctrl
555,Neurons-Ctrl
556,NA-NA
557,NA-NA
558,Mural-Ctrl
559,Proliferating-Ctrl
560,Progs.-Ctrl
561,Progs.-Ctrl
562,Progs.-Ctrl
563,NA-NA
564,Progs.-Ctrl
565,RG-Ctrl
566,NA-NA
567,NA-NA
568,Neurons-Ctrl
569,Proliferating-Ctrl
570,Progs.-Ctrl
571,Myeloid-Ctrl
572,Progs.-Ctrl
573,Mural-Ctrl
574,NA-NA
575,NA-NA
576,Progs.-Ctrl
577,NA-NA
578,Progs.-Ctrl
579,Progs.-Ctrl
580,NA-NA
581,RG-Ctrl
582,Proliferating-Ctrl
583,RG-Ctrl
584,NA-NA
585,Proliferating-Ctrl
586,NA-NA
587,NA-NA
588,NA-NA
589,NA-NA
590,NA-NA
591,NA-NA
592,Progs.-Ctrl
593,Progs.-Ctrl
594,NA-NA
595,NA-NA
596,NA-NA
597,Proliferating-Ctrl
598,NA-NA
599,RG-Ctrl
600,Progs.-Ctrl
601,Progs.-Ctrl
602,NA-NA
603,NA-NA
604,NA-NA
605,RG-Ctrl
606,RG-Ctrl
607,Progs.-Ctrl
608,Neurons-Ctrl
609,NA-NA
610,Progs.-Ctrl
611,Proliferating-Ctrl
612,Progs.-Ctrl
613,Progs.-Ctrl
614,NA-NA
615,Neurons-Ctrl
616,NA-NA
617,NA-NA
618,Progs.-Ctrl
619,Progs.-Ctrl
620,NA-NA
621,RG-Ctrl
622,NA-NA
623,NA-NA
624,Neurons-Ctrl
625,NA-NA
626,Progs.-Ctrl
627,NA-NA
628,RG-Ctrl
629,NA-NA
630,Neurons-Ctrl
631,Neurons-Ctrl
632,NA-NA
633,NA-NA
634,NA-NA
635,RG-Ctrl
636,NA-NA
637,RG-Ctrl
638,Progs.-Ctrl
639,RG-Ctrl
640,NA-NA
641,NA-NA
642,Progs.-Ctrl
643,NA-NA
644,NA-NA
645,Progs.-Ctrl
646,NA-NA
647,Neurons-Ctrl
648,NA-NA
649,NA-NA
650,NA-NA
651,Progs.-Ctrl
652,Mural-Ctrl
653,Progs.-Ctrl
654,NA-NA
655,NA-NA
656,Progs.-Ctrl
657,Progs.-Ctrl
658,Progs.-Ctrl
659,NA-NA
660,Neurons-Ctrl
661,Proliferating-Ctrl
662,Proliferating-Ctrl
663,NA-NA
664,RG-Ctrl
665,Progs.-Ctrl
666,Progs.-Ctrl
667,NA-NA
668,Proliferating-Ctrl
669,Progs.-Ctrl
670,Proliferating-Ctrl
671,Neurons-Ctrl
672,NA-NA
673,Neurons-Ctrl
674,RG-Ctrl
675,Neurons-Ctrl
676,NA-NA
677,NA-NA
678,Proliferating-Ctrl
679,Neurons-Ctrl
680,NA-NA
681,Neurons-Ctrl
682,NA-NA
683,Progs.-Ctrl
684,NA-NA
685,NA-NA
686,Progs.-Ctrl
687,NA-NA
688,Progs.-Ctrl
689,RG-Ctrl
690,Progs.-Ctrl
691,NA-NA
692,NA-NA
693,NA-NA
694,Myeloid-Ctrl
695,NA-NA
696,RG-Ctrl
697,NA-NA
698,NA-NA
699,NA-NA
700,RG-Ctrl
701,NA-NA
702,Progs.-Ctrl
703,Progs.-Ctrl
704,Neurons-Ctrl
705,Progs.-Ctrl
706,NA-NA
707,Progs.-Ctrl
708,Progs.-Ctrl
709,NA-NA
710,NA-NA
711,NA-NA
712,RG-Ctrl
713,NA-NA
714,NA-NA
715,Progs.-Ctrl
716,Progs.-Ctrl
717,NA-NA
718,Neurons-Ctrl
719,NA-NA
720,NA-NA
721,NA-NA
722,NA-NA
723,Neurons-Ctrl
724,NA-NA
725,Progs.-Ctrl
726,Progs.-Ctrl
727,NA-NA
728,NA-NA
729,NA-NA
730,Proliferating-Ctrl
731,NA-NA
732,Neurons-Ctrl
733,Proliferating-Ctrl
734,Proliferating-Ctrl
735,NA-NA
736,NA-NA
737,Progs.-Ctrl
738,NA-NA
739,Endothelial-Ctrl
740,Neurons-Ctrl
741,Neurons-Ctrl
742,Neurons-Ctrl
743,NA-NA
744,Progs.-Ctrl
745,Proliferating-Ctrl
746,Progs.-Ctrl
747,RG-Ctrl
748,NA-NA
749,Mural-Ctrl
750,Progs.-Ctrl
751,RG-Ctrl
752,RG-Ctrl
753,NA-NA
754,RG-Ctrl
755,Progs.-Ctrl
756,NA-NA
757,RG-Ctrl
758,NA-NA
759,Neurons-Ctrl
760,NA-NA
761,RG-Ctrl
762,NA-NA
763,NA-NA
764,Progs.-Ctrl
765,Proliferating-Ctrl
766,Progs.-Ctrl
767,NA-NA
768,NA-NA
769,Proliferating-Ctrl
770,NA-NA
771,NA-NA
772,Neurons-Ctrl
773,NA-NA
774,NA-NA
775,NA-NA
776,Neurons-Ctrl
777,NA-NA
778,NA-NA
779,Progs.-Ctrl
780,NA-NA
781,NA-NA
782,Progs.-Ctrl
783,Mural-Ctrl
784,NA-NA
785,Mural-Ctrl
786,RG-Ctrl
787,NA-NA
788,NA-NA
789,NA-NA
790,NA-NA
791,Progs.-Ctrl
792,Neurons-Ctrl
793,NA-NA
794,RG-Ctrl
795,Proliferating-Ctrl
796,NA-NA
797,Neurons-Ctrl
798,RG-Ctrl
799,RG-Ctrl
800,Progs.-Ctrl
801,Progs.-Ctrl
802,RG-Ctrl
803,NA-NA
804,RG-Ctrl
805,Neurons-Ctrl
806,RG-Ctrl
807,Progs.-Ctrl
808,Proliferating-Ctrl
809,NA-NA
810,RG-Ctrl
811,Progs.-Ctrl
812,NA-NA
813,Progs.-Ctrl
814,Neurons-Ctrl
815,Mural-Ctrl
816,Mural-Ctrl
817,Progs.-Ctrl
818,NA-NA
819,Proliferating-Ctrl
820,Neurons-Ctrl
821,NA-NA
822,Progs.-Ctrl
823,NA-NA
824,NA-NA
825,RG-Ctrl
826,RG-Ctrl
827,Progs.-Ctrl
828,RG-Ctrl
829,NA-NA
830,NA-NA
831,Neurons-Ctrl
832,NA-NA
833,RG-Ctrl
834,Progs.-Ctrl
835,Progs.-Ctrl
836,NA-NA
837,RG-Ctrl
838,NA-NA
839,Mural-Ctrl
840,Progs.-Ctrl
841,Neurons-Ctrl
842,NA-NA
843,NA-NA
844,Proliferating-Ctrl
845,Progs.-Ctrl
846,RG-Ctrl
847,Proliferating-Ctrl
848,Neurons-Ctrl
849,NA-NA
850,NA-NA
851,Neurons-Ctrl
852,NA-NA
853,Progs.-Ctrl
854,NA-NA
855,NA-NA
856,Neurons-Ctrl
857,NA-NA
858,NA-NA
859,NA-NA
860,Progs.-Ctrl
861,Proliferating-Ctrl
862,RG-Ctrl
863,Progs.-Ctrl
864,Progs.-Ctrl
865,Proliferating-Ctrl
866,NA-NA
867,NA-NA
868,Progs.-Ctrl
869,NA-NA
870,Progs.-Ctrl
871,Progs.-Ctrl
872,NA-NA
873,NA-NA
874,NA-NA
875,RG-Ctrl
876,RG-Ctrl
877,Progs.-Ctrl
878,Neurons-Ctrl
879,NA-NA
880,NA-NA
881,RG-Ctrl
882,Progs.-Ctrl
883,Progs.-Ctrl
884,Progs.-Ctrl
885,Proliferating-Ctrl
886,NA-NA
887,Neurons-Ctrl
888,RG-Ctrl
889,Progs.-Ctrl
890,Progs.-Ctrl
891,Progs.-Ctrl
892,NA-NA
893,NA-NA
894,NA-NA
895,Progs.-Ctrl
896,NA-NA
897,NA-NA
898,NA-NA
899,RG-Ctrl
900,RG-Ctrl
901,NA-NA
902,NA-NA
903,NA-NA
904,Proliferating-Ctrl
905,Progs.-Ctrl
906,NA-NA
907,NA-NA
908,Progs.-Ctrl
909,Neurons-Ctrl
910,NA-NA
911,Progs.-Ctrl
912,NA-NA
913,NA-NA
914,NA-NA
915,Progs.-Ctrl
916,Myeloid-Ctrl
917,NA-NA
918,NA-NA
919,NA-NA
920,NA-NA
921,Neurons-Ctrl
922,NA-NA
923,Progs.-Ctrl
924,NA-NA
925,Progs.-Ctrl
926,NA-NA
927,NA-NA
928,Progs.-Ctrl
929,RG-Ctrl
930,NA-NA
931,Proliferating-Ctrl
932,NA-NA
933,Progs.-Ctrl
934,NA-NA
935,NA-NA
936,NA-NA
937,Progs.-Ctrl
938,NA-NA
939,RG-Ctrl
940,NA-NA
941,Progs.-Ctrl
942,Progs.-Ctrl
943,RG-Ctrl
944,NA-NA
945,Neurons-Ctrl
946,Progs.-Ctrl
947,Neurons-Ctrl
948,Progs.-Ctrl
949,NA-NA
950,NA-NA
951,Progs.-Ctrl
952,RG-Ctrl
953,NA-NA
954,Neurons-Ctrl
955,Proliferating-Ctrl
956,Progs.-Ctrl
957,NA-NA
958,RG-Ctrl
959,Proliferating-Ctrl
960,NA-NA
961,NA-NA
962,NA-NA
963,RG-Ctrl
964,Proliferating-Ctrl
965,Progs.-Ctrl
966,Proliferating-Ctrl
967,Proliferating-Ctrl
968,Progs.-Ctrl
969,RG-Ctrl
970,RG-Ctrl
971,Progs.-Ctrl
972,RG-Ctrl
973,NA-NA
974,NA-NA
975,RG-Ctrl
976,NA-NA
977,Progs.-Ctrl
978,Progs.-Ctrl
979,NA-NA
980,NA-NA
981,NA-NA
982,Progs.-Ctrl
983,Progs.-Ctrl
984,Proliferating-Ctrl
985,Neurons-Ctrl
986,NA-NA
987,Progs.-Ctrl
988,NA-NA
989,NA-NA
990,RG-Ctrl
991,Progs.-Ctrl
992,Progs.-Ctrl
993,Proliferating-Ctrl
994,NA-NA
995,NA-NA
996,Neurons-Ctrl
997,NA-NA
998,Progs.-Ctrl
999,Progs.-Ctrl
1000,Neurons-Ctrl
1001,NA-NA
1002,NA-NA
1003,RG-Ctrl
1004,Proliferating-Ctrl
1005,NA-NA
1006,RG-Ctrl
1007,Progs.-Ctrl
1008,Progs.-Ctrl
1009,NA-NA
1010,Myeloid-Ctrl
1011,NA-NA
1012,NA-NA
1013,Neurons-Ctrl
1014,NA-NA
1015,Progs.-Ctrl
1016,Progs.-Ctrl
1017,Neurons-Ctrl
1018,Neurons-Ctrl
1019,Progs.-Ctrl
1020,Progs.-Ctrl
1021,Neurons-Ctrl
1022,NA-NA
1023,Astrocytes-Ctrl
1024,NA-NA
1025,Progs.-Ctrl
1026,Proliferating-Ctrl
1027,Progs.-Ctrl
1028,NA-NA
1029,Progs.-Ctrl
1030,RG-Ctrl
1031,Progs.-Ctrl
1032,NA-NA
1033,NA-NA
1034,NA-NA
1035,NA-NA
1036,Progs.-Ctrl
1037,NA-NA
1038,Progs.-Ctrl
1039,Proliferating-Ctrl
1040,NA-NA
1041,Mural-Ctrl
1042,Progs.-Ctrl
1043,NA-NA
1044,NA-NA
1045,Progs.-Ctrl
1046,NA-NA
1047,Progs.-Ctrl
1048,Progs.-Ctrl
1049,NA-NA
1050,NA-NA
1051,Mural-Ctrl
1052,Proliferating-Ctrl
1053,NA-NA
1054,Proliferating-Ctrl
1055,NA-NA
1056,NA-NA
1057,Proliferating-Ctrl
1058,NA-NA
1059,Proliferating-Ctrl
1060,Progs.-Ctrl
1061,NA-NA
1062,Neurons-Ctrl
1063,RG-Ctrl
1064,Proliferating-Ctrl
1065,Neurons-Ctrl
1066,Astrocytes-Ctrl
1067,Progs.-Ctrl
1068,Progs.-Ctrl
1069,Progs.-Ctrl
1070,Proliferating-Ctrl
1071,Progs.-Ctrl
1072,NA-NA
1073,NA-NA
1074,Progs.-Ctrl
1075,RG-Ctrl
1076,Progs.-Ctrl
1077,Progs.-Ctrl
1078,Progs.-Ctrl
1079,NA-NA
1080,Progs.-Ctrl
1081,Proliferating-Ctrl
1082,NA-NA
1083,NA-NA
1084,NA-NA
1085,NA-NA
1086,Progs.-Ctrl
1087,RG-Ctrl
1088,RG-Ctrl
1089,RG-Ctrl
1090,NA-NA
1091,NA-NA
1092,Neurons-Ctrl
1093,Proliferating-Ctrl
1094,Progs.-Ctrl
1095,NA-NA
1096,Proliferating-Ctrl
1097,Neurons-Ctrl
1098,Progs.-Ctrl
1099,Progs.-Ctrl
1100,Progs.-Ctrl
1101,Progs.-Ctrl
1102,Progs.-Ctrl
1103,RG-Ctrl
1104,RG-Ctrl
1105,Progs.-Ctrl
1106,NA-NA
1107,Progs.-Ctrl
1108,NA-NA
1109,NA-NA
1110,Neurons-Ctrl
1111,NA-NA
1112,Progs.-Ctrl
1113,NA-NA
1114,Neurons-Ctrl
1115,RG-Ctrl
1116,NA-NA
1117,Myeloid-Ctrl
1118,RG-Ctrl
1119,NA-NA
1120,Progs.-Ctrl
1121,Progs.-Ctrl
1122,Neurons-Ctrl
1123,Progs.-Ctrl
1124,NA-NA
1125,Neurons-Ctrl
1126,NA-NA
1127,NA-NA
1128,NA-NA
1129,NA-NA
1130,Progs.-Ctrl
1131,Progs.-Ctrl
1132,NA-NA
1133,Proliferating-Ctrl
1134,Neurons-Ctrl
1135,Neurons-Ctrl
1136,NA-NA
1137,NA-NA
1138,NA-NA
1139,Progs.-Ctrl
1140,NA-NA
1141,NA-NA
1142,NA-NA
1143,NA-NA
1144,Progs.-Ctrl
1145,Progs.-Ctrl
1146,NA-NA
1147,RG-Ctrl
1148,Neurons-Ctrl
1149,NA-NA
1150,Neurons-Ctrl
1151,NA-NA
1152,Neurons-Ctrl
1153,Neurons-Ctrl
1154,RG-Ctrl
1155,NA-NA
1156,NA-NA
1157,Proliferating-Ctrl
1158,Neurons-Ctrl
1159,RG-Ctrl
1160,Proliferating-Ctrl
1161,NA-NA
1162,Progs.-Ctrl
1163,Progs.-Ctrl
1164,NA-NA
1165,Neurons-Ctrl
1166,Proliferating-Ctrl
1167,NA-NA
1168,NA-NA
1169,RG-Ctrl
1170,NA-NA
1171,Progs.-Ctrl
1172,Progs.-Ctrl
1173,Progs.-Ctrl
1174,Progs.-Ctrl
1175,RG-Ctrl
1176,RG-Ctrl
1177,NA-NA
1178,NA-NA
1179,Progs.-Ctrl
1180,NA-NA
1181,RG-Ctrl
1182,NA-NA
1183,NA-NA
1184,RG-Ctrl
1185,Proliferating-Ctrl
1186,RG-Ctrl
1187,Progs.-Ctrl
1188,Progs.-Ctrl
1189,NA-NA
1190,NA-NA
1191,Progs.-Ctrl
1192,NA-NA
1193,NA-NA
1194,Progs.-Ctrl
1195,RG-Ctrl
1196,Progs.-Ctrl
1197,Neurons-Ctrl
1198,RG-Ctrl
1199,Progs.-Ctrl
1200,Progs.-Ctrl
1201,NA-NA
1202,NA-NA
1203,NA-NA
1204,Progs.-Ctrl
1205,Progs.-Ctrl
1206,NA-NA
1207,RG-Ctrl
1208,Progs.-Ctrl
1209,Progs.-Ctrl
1210,Progs.-Ctrl
1211,Neurons-Ctrl
1212,NA-NA
1213,NA-NA
1214,RG-Ctrl
1215,NA-NA
1216,Proliferating-Ctrl
1217,Neurons-Ctrl
1218,RG-Ctrl
1219,Progs.-Ctrl
1220,Progs.-Ctrl
1221,NA-NA
1222,Progs.-Ctrl
1223,Progs.-Ctrl
1224,NA-NA
1225,Proliferating-Ctrl
1226,Neurons-Ctrl
1227,NA-NA
1228,NA-NA
1229,RG-Ctrl
1230,Progs.-Ctrl
1231,Neurons-Ctrl
1232,NA-NA
1233,NA-NA
1234,Progs.-Ctrl
1235,NA-NA
1236,NA-NA
1237,RG-Ctrl
1238,NA-NA
1239,Neurons-Ctrl
1240,RG-Ctrl
1241,NA-NA
1242,Neurons-Ctrl
1243,Progs.-Ctrl
1244,NA-NA
1245,Progs.-Ctrl
1246,NA-NA
1247,RG-Ctrl
1248,NA-NA
1249,RG-Ctrl
1250,NA-NA
1251,Myeloid-Ctrl
1252,NA-NA
1253,Neurons-Ctrl
1254,NA-NA
1255,Neurons-Ctrl
1256,NA-NA
1257,NA-NA
1258,Neurons-Ctrl
1259,NA-NA
1260,Mural-Ctrl
1261,NA-NA
1262,Progs.-Ctrl
1263,NA-NA
1264,NA-NA
1265,Mural-Ctrl
1266,Proliferating-Ctrl
1267,Proliferating-Ctrl
1268,NA-NA
1269,NA-NA
1270,RG-Ctrl
1271,Neurons-Ctrl
1272,NA-NA
1273,NA-NA
1274,NA-NA
1275,Progs.-Ctrl
1276,NA-NA
1277,NA-NA
